Feature,Original,Counterfactual,Delta,Direction,Scenario
viol_lane,0,1,1,Increase,CF-1
weather_clear,3,2,-1,Decrease,CF-1
road_dry,3,1,-2,Decrease,CF-2
viol_unsafe_distance,0,2,2,Increase,CF-3
weather_clear,3,2,-1,Decrease,CF-3
road_dry,5,1,-4,Decrease,CF-1
road_dry,5,0,-5,Decrease,CF-2
sports_facilities,0,1,1,Increase,CF-2
road_dry,5,1,-4,Decrease,CF-3
road_type_other,0,2,2,Increase,CF-3
road_dry,2,0,-2,Decrease,CF-1
road_wet,1,0,-1,Decrease,CF-1
road_intersection,3,9,6,Increase,CF-1
viol_unsafe_driving,1,5,4,Increase,CF-2
road_wet,1,0,-1,Decrease,CF-2
도로형태_터널_건수,0,1,1,Increase,CF-2
campgrounds,0,7,7,Increase,CF-2
viol_signal,1,0,-1,Decrease,CF-3
viol_centerline,0,3,3,Increase,CF-3
road_dry,2,0,-2,Decrease,CF-3
road_wet,1,0,-1,Decrease,CF-3
법규위반_교차로운행방법위반_건수,1,0,-1,Decrease,CF-1
road_dry,8,0,-8,Decrease,CF-1
road_wet,1,0,-1,Decrease,CF-1
weather_fog,0,1,1,Increase,CF-1
weather_snow,0,1,1,Increase,CF-1
road_intersection,3,0,-3,Decrease,CF-1
road_single_other,5,0,-5,Decrease,CF-1
운송업체_비율,0,8,8,Increase,CF-1
campgrounds,0,6,6,Increase,CF-1
road_dry,8,1,-7,Decrease,CF-2
road_wet,1,0,-1,Decrease,CF-2
weather_clear,7,12,5,Increase,CF-2
weather_cloudy,1,0,-1,Decrease,CF-2
road_intersection,3,0,-3,Decrease,CF-2
행사_여부,0,1,1,Increase,CF-2
sports_facilities,0,4,4,Increase,CF-2
road_dry,8,1,-7,Decrease,CF-3
road_wet,1,0,-1,Decrease,CF-3
weather_clear,7,12,5,Increase,CF-3
weather_cloudy,1,0,-1,Decrease,CF-3
road_intersection,3,0,-3,Decrease,CF-3
도로형태_교차로횡단보도내_건수,0,1,1,Increase,CF-3
행사_여부,0,1,1,Increase,CF-3
campgrounds,0,9,9,Increase,CF-3
sports_facilities,0,4,4,Increase,CF-3
road_dry,5,1,-4,Decrease,CF-1
road_dry,5,1,-4,Decrease,CF-2
도로형태_교량_건수,0,2,2,Increase,CF-2
법규위반_교차로운행방법위반_건수,0,1,1,Increase,CF-3
road_dry,5,0,-5,Decrease,CF-3
