viol_unsafe_driving,viol_pedestrian_prot,viol_signal,법규위반_교차로운행방법위반_건수,viol_centerline,법규위반_직진우회전진행방해_건수,viol_unsafe_distance,viol_other,viol_lane,road_dry,노면상태_서리결빙_건수,road_wet,road_snow,road_other,weather_clear,weather_cloudy,weather_rain,weather_fog,weather_snow,weather_other,road_intersection,road_near_intersection,도로형태_교차로횡단보도내_건수,도로형태_교량_건수,도로형태_터널_건수,도로형태_지하차도_건수,road_single_other,도로형태_주차장_건수,road_type_other,행사_여부,운송업체_비율,campgrounds,sports_facilities,actual,predicted,prob,alert_type
8,2,4,0,0,1,0,1,0,14,0,2,0,0,13,1,2,0,0,0,10,0,2,0,0,0,3,1,0,0,0,0,5,1,1,0.9995,True-Alert
6,0,2,1,0,0,0,0,0,8,0,1,0,0,7,1,1,0,0,0,3,1,0,0,0,0,5,0,0,0,0,0,0,1,1,0.9994,True-Alert
6,0,0,1,0,0,0,0,0,4,0,3,0,0,3,2,2,0,0,0,3,1,0,0,0,0,3,0,0,0,0,0,0,1,1,0.9989,True-Alert
6,1,1,0,0,0,0,0,1,8,0,1,0,0,7,1,1,0,0,0,2,2,1,2,0,0,1,0,1,0,0,0,5,1,1,0.9987,True-Alert
4,1,2,1,0,0,0,0,1,9,0,0,0,0,7,2,0,0,0,0,2,1,2,0,0,0,4,0,0,0,1,0,0,1,1,0.9984,True-Alert
4,1,0,1,1,0,0,0,0,7,0,0,0,0,6,1,0,0,0,0,2,1,0,0,0,0,4,0,0,0,0,0,5,1,1,0.9975,True-Alert
4,0,1,1,1,0,0,0,0,5,0,2,0,0,5,0,2,0,0,0,3,3,0,0,0,0,1,0,0,0,0,0,0,1,1,0.9973,True-Alert
5,0,0,0,0,0,0,1,0,5,0,1,0,0,5,1,0,0,0,0,4,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0.9971,True-Alert
6,0,1,1,0,0,0,0,0,7,0,1,0,0,7,0,1,0,0,0,2,2,1,0,0,0,3,0,0,0,0,0,0,1,1,0.9971,True-Alert
4,2,0,1,0,0,0,0,0,7,0,0,0,0,7,0,0,0,0,0,2,1,1,0,0,0,3,0,0,0,0,0,0,1,1,0.9967,True-Alert
4,0,1,1,0,0,0,1,0,7,0,0,0,0,7,0,0,0,0,0,5,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0.9947,True-Alert
6,0,0,0,1,0,0,0,0,7,0,0,0,0,6,1,0,0,0,0,3,1,0,0,0,0,3,0,0,0,0,2,1,1,1,0.9943,True-Alert
6,0,3,0,0,0,0,0,1,10,0,0,0,0,10,0,0,0,0,0,6,2,0,0,0,0,2,0,0,0,0,0,0,1,1,0.9938,True-Alert
3,0,1,0,0,0,0,0,0,4,0,0,0,0,3,1,0,0,0,0,1,0,0,0,0,0,3,0,0,0,4,0,0,1,1,0.9933,True-Alert
4,0,1,0,0,0,0,0,0,5,0,0,0,0,3,2,0,0,0,0,2,0,0,0,0,0,3,0,0,0,0,2,1,1,1,0.993,True-Alert
5,0,0,1,0,0,0,0,0,6,0,0,0,0,5,1,0,0,0,0,4,0,0,0,0,0,2,0,0,0,0,2,1,1,1,0.9916,True-Alert
2,0,1,1,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,5,1,1,0.9904,True-Alert
7,0,0,1,1,0,0,1,0,9,0,0,1,0,9,1,0,0,0,0,6,0,0,0,0,0,2,0,2,0,0,0,5,1,1,0.99,True-Alert
4,0,0,1,0,0,0,0,0,5,0,0,0,0,4,1,0,0,0,0,3,0,0,0,0,0,2,0,0,0,0,0,5,1,1,0.9878,True-Alert
4,0,0,1,0,0,0,0,0,5,0,0,0,0,5,0,0,0,0,0,2,0,0,0,0,0,3,0,0,0,1,0,0,1,1,0.9877,True-Alert
5,0,0,0,0,0,0,0,0,5,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,1,1,0.9864,True-Alert
3,0,0,1,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,2,0,0,1,0,0,1,0,0,0,0,2,1,1,1,0.9813,True-Alert
3,0,0,0,0,0,1,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,1,1,0.9808,True-Alert
4,0,0,1,0,0,0,0,0,5,0,0,0,0,5,0,0,0,0,0,1,2,0,0,0,0,2,0,0,0,0,0,0,1,1,0.98,True-Alert
4,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,1,1,0,0,0,0,2,0,0,0,0,0,0,1,1,0.98,True-Alert
2,1,1,0,0,0,0,0,0,3,0,1,0,0,2,1,1,0,0,0,2,0,1,0,0,0,1,0,0,0,0,0,5,1,1,0.9715,True-Alert
3,0,0,1,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,2,0,1,0,0,0,5,1,1,0.9656,True-Alert
1,0,1,1,0,0,0,0,0,2,0,1,0,0,2,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.9569,True-Alert
2,0,1,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.951,True-Alert
0,1,0,1,0,0,0,1,0,2,0,1,0,0,1,1,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,5,1,1,0.9417,True-Alert
