사고번호,사고일시,요일,시군구,사고내용,사망자수,중상자수,경상자수,부상신고자수,사고유형,법규위반,노면상태,기상상태,도로형태,가해운전자 차종,가해운전자 성별,가해운전자 연령,가해운전자 상해정도,피해운전자 차종,피해운전자 성별,피해운전자 연령,피해운전자 상해정도
2020010100100178,2020년 1월 1일 13시,수요일,경상남도 밀양시 삼랑진읍,중상사고,0,2,1,0,차대차 - 측면충돌,안전운전불이행,건조,맑음,교차로 - 교차로안,승용,남,60세,중상,화물,남,58세,경상
2020010200100291,2020년 1월 2일 15시,목요일,경상남도 밀양시 산외면,중상사고,0,1,0,0,차대차 - 측면충돌,안전운전불이행,건조,맑음,단일로 - 기타,화물,여,55세,상해없음,이륜,남,48세,중상
2020010400100072,2020년 1월 4일 05시,토요일,경상남도 밀양시 내이동,경상사고,0,0,2,0,차대차 - 정면충돌,신호위반,건조,흐림,교차로 - 교차로안,화물,여,47세,경상,승용,남,64세,경상
2020010600100109,2020년 1월 6일 08시,월요일,경상남도 밀양시 초동면,경상사고,0,0,1,6,차량단독 - 전도전복 - 전도,안전운전불이행,서리/결빙,비,단일로 - 기타,승합,남,49세,경상,,,,
2020010700100258,2020년 1월 7일 12시,화요일,경상남도 밀양시 상남면,중상사고,0,1,0,0,차대차 - 추돌,안전운전불이행,젖음/습기,비,단일로 - 기타,승용,여,61세,상해없음,화물,남,36세,중상
2020010700100323,2020년 1월 7일 14시,화요일,경상남도 밀양시 삼문동,중상사고,0,2,0,0,차대차 - 측면충돌,신호위반,건조,맑음,교차로 - 교차로안,승용,여,58세,상해없음,승용,남,60세,중상
2020010700100504,2020년 1월 7일 18시,화요일,경상남도 밀양시 내이동,경상사고,0,0,1,0,차대차 - 측면충돌,안전운전불이행,젖음/습기,비,단일로 - 기타,화물,남,56세,상해없음,승용,남,31세,경상
2020010700100680,2020년 1월 7일 21시,화요일,경상남도 밀양시 가곡동,경상사고,0,0,1,0,차대차 - 측면충돌,안전운전불이행,젖음/습기,비,교차로 - 교차로안,승용,남,19세,상해없음,농기계,남,57세,경상
2020010800100241,2020년 1월 8일 11시,수요일,경상남도 밀양시 내이동,중상사고,0,1,0,0,차대차 - 측면충돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,51세,상해없음,승용,남,57세,중상
2020010800100469,2020년 1월 8일 18시,수요일,경상남도 밀양시 내이동,중상사고,0,1,0,0,차대차 - 측면충돌,안전운전불이행,건조,맑음,교차로 - 교차로안,승용,여,61세,상해없음,승용,여,33세,중상
2020010800100470,2020년 1월 8일 18시,수요일,경상남도 밀양시 부북면,중상사고,0,1,0,0,차대차 - 측면충돌,중앙선침범,건조,맑음,단일로 - 기타,승용,여,38세,상해없음,화물,남,26세,중상
2020010800100471,2020년 1월 8일 18시,수요일,경상남도 밀양시 삼문동,부상신고사고,0,0,0,1,차대차 - 측면충돌,안전운전불이행,건조,흐림,교차로 - 교차로부근,승용,남,45세,상해없음,이륜,남,26세,부상신고
2020011000100220,2020년 1월 10일 11시,금요일,경상남도 밀양시 삼랑진읍,중상사고,0,1,0,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,이륜,남,53세,중상,화물,남,71세,상해없음
2020011000100561,2020년 1월 10일 20시,금요일,경상남도 밀양시 하남읍,경상사고,0,0,2,0,차대차 - 측면충돌,안전운전불이행,건조,맑음,교차로 - 교차로안,승용,남,59세,상해없음,승합,남,26세,경상
2020011200100171,2020년 1월 12일 13시,일요일,경상남도 밀양시 삼문동,중상사고,0,1,0,0,차대차 - 측면충돌,안전운전불이행,건조,맑음,단일로 - 기타,이륜,남,56세,상해없음,자전거,여,72세,중상
2020011200100196,2020년 1월 12일 14시,일요일,경상남도 밀양시 내일동,중상사고,0,1,0,0,차대차 - 측면충돌,안전운전불이행,건조,맑음,교차로 - 교차로안,승합,남,63세,상해없음,승용,남,56세,중상
2020011300100171,2020년 1월 13일 11시,월요일,경상남도 밀양시 삼랑진읍,중상사고,0,1,2,0,차대차 - 측면충돌,중앙선침범,건조,맑음,단일로 - 기타,화물,남,55세,기타불명,승용,여,42세,중상
2020011300100372,2020년 1월 13일 17시,월요일,경상남도 밀양시 삼랑진읍,중상사고,0,1,0,0,차대차 - 측면충돌,안전운전불이행,건조,맑음,단일로 - 기타,화물,남,59세,상해없음,승용,남,39세,중상
2020011300100447,2020년 1월 13일 18시,월요일,경상남도 밀양시 삼문동,중상사고,0,1,0,0,차대차 - 기타,교차로운행방법위반,건조,흐림,교차로 - 교차로안,승용,여,28세,상해없음,이륜,남,46세,중상
2020011500100193,2020년 1월 15일 11시,수요일,경상남도 밀양시 단장면,경상사고,0,0,1,0,차대차 - 정면충돌,중앙선침범,건조,맑음,단일로 - 기타,건설기계,남,27세,상해없음,화물,남,63세,경상
2020011500100524,2020년 1월 15일 19시,수요일,경상남도 밀양시 상남면,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,건조,흐림,단일로 - 기타,승용,남,62세,상해없음,보행자,남,20세,경상
2020011600100368,2020년 1월 16일 16시,목요일,경상남도 밀양시 삼문동,경상사고,0,0,1,0,차대사람 - 횡단중,보행자보호의무위반,건조,맑음,단일로 - 기타,승용,여,60세,상해없음,보행자,여,13세,경상
